timestamp_ns,thread_id,event,callee_addr,callee_func,callee_fileline,caller_addr,caller_func,caller_fileline
1751729557633250351,51361,ENTER,0x406014,"std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::unique_ptr<std::default_delete<std::thread::_State>, void>(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:211,0x40529e,"std::unique_ptr<std::thread::_State, std::default_delete<std::unique_ptr> > std::thread::_S_make_state<std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> > >(std::thread::_Invoker<std::tuple<Worker::start()::{lambda()#1}> >&&)",/usr/include/c++/9/thread:206
1751729557633254611,51361,ENTER,0x406e38,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:147,0x40604e,"std::unique_ptr<std::thread::_State, std::default_delete<std::thread::_State> >::unique_ptr<std::default_delete<std::thread::_State>, void>(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:212
1751729557633258808,51361,ENTER,0x40777c,"std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >::tuple<std::thread::_State*, std::default_delete<std::thread::_State>, true>()",/usr/include/c++/9/tuple:918,0x406e6c,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:147 (discriminator 1)
1751729557633262967,51361,ENTER,0x407ea0,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:206,0x4077ac,"std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >::tuple<std::thread::_State*, std::default_delete<std::thread::_State>, true>()",/usr/include/c++/9/tuple:919
1751729557633267129,51361,ENTER,0x408298,"std::_Tuple_impl<1ul, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:339,0x407ed0,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:207 (discriminator 1)
1751729557633271282,51361,ENTER,0x408618,"std::_Head_base<1ul, std::default_delete<std::thread::_State>, true>::_Head_base()",/usr/include/c++/9/tuple:76,0x4082c7,"std::_Tuple_impl<1ul, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:340
1751729557633275438,51361,EXIT,0x408618,"std::_Head_base<1ul, std::default_delete<std::thread::_State>, true>::_Head_base()",/usr/include/c++/9/tuple:76,0x4082c7,"std::_Tuple_impl<1ul, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:340
1751729557633279661,51361,EXIT,0x408298,"std::_Tuple_impl<1ul, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:339,0x407ed0,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:207 (discriminator 1)
1751729557633283853,51361,ENTER,0x4082de,"std::_Head_base<0ul, std::thread::_State*, false>::_Head_base()",/usr/include/c++/9/tuple:122,0x407edc,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:207 (discriminator 1)
1751729557633288042,51361,EXIT,0x4082de,"std::_Head_base<0ul, std::thread::_State*, false>::_Head_base()",/usr/include/c++/9/tuple:122,0x407edc,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:207 (discriminator 1)
1751729557633292186,51361,EXIT,0x407ea0,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_Tuple_impl()",/usr/include/c++/9/tuple:206,0x4077ac,"std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >::tuple<std::thread::_State*, std::default_delete<std::thread::_State>, true>()",/usr/include/c++/9/tuple:919
1751729557633296446,51361,EXIT,0x40777c,"std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >::tuple<std::thread::_State*, std::default_delete<std::thread::_State>, true>()",/usr/include/c++/9/tuple:918,0x406e6c,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:147 (discriminator 1)
1751729557633300650,51361,ENTER,0x406064,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()",/usr/include/c++/9/bits/unique_ptr.h:153,0x406e7c,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::__uniq_ptr_impl(std::thread::_State*)",/usr/include/c++/9/bits/unique_ptr.h:147 (discriminator 1)
1751729557633304863,51361,ENTER,0x406ec0,"std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1320,0x406094,"std::__uniq_ptr_impl<std::thread::_State, std::default_delete<std::thread::_State> >::_M_ptr()",/usr/include/c++/9/bits/unique_ptr.h:153
1751729557633309024,51361,ENTER,0x4077ed,"std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1309,0x406ef0,"std::tuple_element<0ul, std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> > >::type& std::get<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::tuple<std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1321
1751729557633313228,51361,ENTER,0x407f1d,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:195,0x40781d,"std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1310
1751729557633317434,51361,ENTER,0x408322,"std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)",/usr/include/c++/9/tuple:160,0x407f4d,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:195
1751729557633321577,51361,EXIT,0x408322,"std::_Head_base<0ul, std::thread::_State*, false>::_M_head(std::_Head_base<0ul, std::thread::_State*, false>&)",/usr/include/c++/9/tuple:160,0x407f4d,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:195
1751729557633325788,51361,EXIT,0x407f1d,"std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >::_M_head(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:195,0x40781d,"std::thread::_State*& std::__get_helper<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >(std::_Tuple_impl<0ul, std::thread::_State*, std::default_delete<std::thread::_State> >&)",/usr/include/c++/9/tuple:1310
